transp_Bizr_Id,vehc_Id,vehc_Lcns_No,actual_vehc_Lcns_No,depot_Id,Seat,Stand,Deck,body_Bus_No,top_Up_Thold,alert_Thold,max_Quota_Etm,use_Yn
110100001,11602,WWC4559,WWC4559,BCV,20,15,Single,PD3,2000,100,3500,Y
110100001,11604,WWC4629,WWC4629,BCV,20,15,Single,PD3,2000,100,3500,Y
110100001,11605,WWC4681,WWC4681,BCV,20,15,Single,PD3,2000,100,3500,Y
110100001,11609,WWC4696,WWC4696,BCV,20,15,Single,PD3,2000,100,3500,Y
110100001,11611,WWC4587,WWC4587,BCV,20,15,Single,TM3,2000,100,3500,Y
110100001,11612,WWB5481,WWB5481,BCV,20,15,Single,TM3,2000,100,3500,Y
110100001,11613,WWD4641,WWD4641,BCV,20,15,Single,TM3,2000,100,3500,Y
110100001,11614,WWB5662,WWB5662,BCV,20,15,Single,TM3,2000,100,3500,Y
110100001,11615,WWC6423,WWC6423,BCV,20,15,Single,TM3,2000,100,3500,Y
110100001,11616,WWD2443,WWD2443,BCV,20,15,Single,TM3,2000,100,3500,Y
110100001,11617,WWC6461,WWC6461,BCV,20,15,Single,TM3,2000,100,3500,Y
110100001,11618,WWD4612,WWD4612,BCV,20,15,Single,TM3,2000,100,3500,Y
110100001,11619,WWB6720,WWB6720,BCV,20,15,Single,TM3,2000,100,3500,Y
110100001,11620,WWC7283,WWC7283,BCV,20,15,Single,TM3,2000,100,3500,Y
110100001,11621,WWD2466,WWD2466,BCV,20,15,Single,TM3,2000,100,3500,Y
110100001,11622,WWD2491,WWD2491,BCV,20,15,Single,TM3,2000,100,3500,Y
110100001,11623,WWD4677,WWD4677,BCV,20,15,Single,TM3,2000,100,3500,Y
110100001,11624,WWF2843,WWF2843,BCV,20,15,Single,TM3,2000,100,3500,Y
110100001,11625,WWF2851,WWF2851,BCV,20,15,Single,TM3,2000,100,3500,Y
110100001,11626,WWD2514,WWD2514,BCV,20,15,Single,TM3,2000,100,3500,Y
110100001,11627,WWF2947,WWF2947,BCV,20,15,Single,TM3,2000,100,3500,Y
110100001,11629,WWF2814,WWF2814,BCV,20,15,Single,TM3,2000,100,3500,Y
110100001,11630,WWF2894,WWF2894,BCV,20,15,Single,TM3,2000,100,3500,Y
110100001,11636,WVN7842,WVN7842,BCV,30,34,Single,MAN,2000,100,3500,Y
110100001,11637,WVN7765,WVN7765,BCV,30,34,Single,MAN,2000,100,3500,Y
110100001,11638,WVN7784,WVN7784,BCV,30,34,Single,T126,2000,100,3500,Y
110100001,11639,WVN7821,WVN7821,BCV,30,34,Single,T124,2000,100,3500,Y
110100001,11732,WUU6736,WUU6736,BCV,30,34,Single,L193,2000,100,3500,Y
110100001,11733,WUU6734,WUU6734,BCV,30,34,Single,L195,2000,100,3500,Y
110100001,11734,WUU6711,WUU6711,BCV,30,34,Single,L194,2000,100,3500,Y
110100001,11735,WUU6645,WUU6645,BCV,30,34,Single,L192,2000,100,3500,Y
110100001,11736,WUU6742,WUU6742,BCV,30,34,Single,L196,2000,100,3500,Y
110100001,11737,WUW1702,WUW1702,BCV,30,34,Single,L205,2000,100,3500,Y
110100001,11738,WUW1664,WUW1664,BCV,30,34,Single,L203,2000,100,3500,Y
110100001,11739,WUW1285,WUW1285,BCV,30,34,Single,L200,2000,100,3500,Y
110100001,11740,WUW3416,WUW3416,BCV,30,34,Single,L206,2000,100,3500,Y
110100001,11741,WUW2519,WUW2519,BCV,30,34,Single,L201,2000,100,3500,Y
110100001,11742,WUW3961,WUW3961,BCV,30,34,Single,L202,2000,100,3500,Y
110100001,11743,WUW8410,WUW8410,BCV,30,34,Single,L207,2000,100,3500,Y
110100001,11745,WUW1421,WUW1421,BCV,30,34,Single,L199,2000,100,3500,Y
110100001,11746,WUW1459,WUW1459,BCV,30,34,Single,L204,2000,100,3500,Y
110100001,11747,WUW1485,WUW1485,BCV,30,34,Single,L213,2000,100,3500,Y
110100001,11748,WUW8422,WUW8422,BCV,30,34,Single,L216,2000,100,3500,Y
110100001,11749,WUW8436,WUW8436,BCV,30,34,Single,L208,2000,100,3500,Y
110100001,11750,WUW8429,WUW8429,BCV,30,34,Single,L209,2000,100,3500,Y
110100001,11751,WUW1276,WUW1276,BCV,30,34,Single,L212,2000,100,3500,Y
110100001,11752,WUW8434,WUW8434,BCV,30,34,Single,L220,2000,100,3500,Y
110100001,11753,WUW8437,WUW8437,BCV,30,34,Single,L217,2000,100,3500,Y
110100001,11754,WUW8425,WUW8425,BCV,30,34,Single,L210,2000,100,3500,Y
